,STARTING SALARY,MID-CAREER SALARY,MORTGAGE,RENT,ELECTRICITY,GAS,FOOD,PHONE,HLTH & WELL,VET,REGION,SCHOOL-ID
0,44700,82900,247758,776,154,65,399,164,680,46,0,0
1,42800,80700,247758,776,154,65,399,164,680,46,0,1
2,41100,76300,259903,814,183,75,431,195,654,48,0,3
3,46100,84400,463245,1451,156,82,431,167,790,55,2,4
4,48300,73800,463245,1451,156,82,431,167,790,55,2,5
5,41100,70300,343877,1077,162,85,447,173,631,43,1,7
6,43000,72500,285928,895,161,80,429,171,759,49,1,8
7,47300,86400,1146835,3593,182,105,566,194,901,62,3,9
8,55000,110000,859866,2694,162,81,484,172,724,50,0,10
9,47000,97900,859866,2694,162,81,484,172,724,50,0,11
10,45300,90800,859866,2694,162,81,484,172,724,50,0,12
11,46900,81800,859866,2694,162,81,484,172,724,50,0,13
12,48300,88600,282805,885,177,75,364,189,695,49,0,14
13,45400,83200,320281,1003,130,84,429,139,695,49,2,15
14,45700,74000,321322,1007,199,82,435,212,662,50,4,16
15,70400,129000,2140883,6706,181,94,650,193,1017,65,3,17
16,46600,81500,337631,1058,190,76,484,203,914,59,2,18
17,46500,82900,370596,1161,141,88,440,151,827,58,2,19
18,42100,80000,828384,2595,208,90,511,222,793,55,4,20
19,44900,76000,320281,1003,126,87,426,135,851,50,2,21
20,53000,96700,717943,2249,236,86,465,252,1014,66,4,22
21,49000,93900,717943,2249,236,86,465,252,1014,66,4,23
22,50500,86400,717943,2249,236,86,465,252,1014,66,4,24
23,45600,78200,717943,2249,236,86,465,252,1014,66,4,25
24,42100,74000,717943,2249,236,86,465,252,1014,66,4,26
25,42800,76100,326527,1023,171,84,399,182,707,50,1,27
26,45200,71600,376148,1178,151,88,457,161,770,51,2,28
27,39200,70100,299808,939,169,71,420,180,628,47,0,29
28,39500,63900,343530,1076,179,102,473,191,884,49,2,30
29,41800,71400,268231,840,144,80,501,153,875,52,1,31
30,45300,86200,363656,1139,152,84,469,162,784,55,1,32
31,41500,72600,308136,965,144,72,415,153,755,48,1,33
32,52600,101000,788384,2470,180,102,493,192,824,54,3,35
33,54800,99600,788384,2470,180,102,493,192,824,54,3,36
34,44400,82900,475397,1489,181,82,564,193,875,63,4,37
35,47100,87900,316117,990,199,81,456,212,740,48,0,39
36,39400,60200,364003,1140,174,77,417,186,759,52,0,40
37,38900,72600,620783,1945,130,83,507,139,803,60,2,43
38,42600,70900,620783,1945,130,83,507,139,803,60,2,44
39,46300,85300,580412,1818,168,77,405,179,737,47,1,45
40,46300,84000,304319,953,159,78,423,169,661,53,1,46
41,42000,68400,307789,964,178,72,389,189,809,52,0,47
42,52300,99600,889164,2785,149,96,513,159,778,56,3,48
43,46600,77500,374066,1172,129,74,448,137,773,51,2,49
44,46700,66200,309524,969,154,75,442,164,655,50,0,50
45,47400,84100,391407,1226,161,71,428,171,733,48,2,51
46,72200,126000,1109025,3474,201,89,488,214,901,66,4,52
47,63400,124000,1109025,3474,201,89,488,214,901,66,4,53
48,42500,70700,262332,821,147,69,364,156,681,48,0,54
49,51400,90500,354160,1109,179,76,426,191,703,49,1,55
50,45100,78100,327915,1027,168,82,408,179,732,57,0,56
51,45400,84700,258515,809,173,70,449,184,640,52,0,57
52,38900,65800,319587,1001,180,77,441,192,742,53,1,58
53,39700,46600,281764,882,149,79,410,159,682,48,1,59
