,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE,School Name,REGION,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary
0,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Oklahoma City,Oklahoma,University-of-Oklahoma,Southern,44700.00,82900.00,167000.00
1,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Oklahoma City,Oklahoma,Oklahoma-State-University,Southern,42800.00,80700.00,151000.00
2,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Oklahoma City,Oklahoma,Oklahoma-City-University,Southern,40000.00,64300.00,
3,259903,814.16,183.42,2.5,14.38,195.52,654.49,48.02,Lafayette,Louisiana,University-of-Louisiana-(UL)-at-Lafayette,Southern,41100.00,76300.00,163000.00
4,463245,1451.0,156.76,2.75,14.37,167.1,790.34,55.28,Denver,Colorado,University-of-Colorado---Denver,Western,46100.00,84400.00,144000.00
5,463245,1451.0,156.76,2.75,14.37,167.1,790.34,55.28,Denver,Colorado,Regis-University,Western,48300.00,73800.00,117000.00
6,987211,3093.0,180.74,3.42,16.45,192.66,824.87,54.97,Pasadena,California,California-Institute-of-Technology-(CIT),California,75500.00,123000.00,
7,343877,1077.0,162.63,2.85,14.9,173.36,631.23,43.29,Akron,Ohio,University-of-Akron,Midwestern,41100.00,70300.00,127000.00
8,285928,895.69,161.29,2.68,14.33,171.93,759.56,49.46,Carbondale,Illinois,Southern-Illinois-University-Carbondale,Midwestern,43000.00,72500.00,139000.00
9,1146835,3593.0,182.92,3.51,18.87,194.98,901.42,62.84,San Francisco,California,San-Francisco-State-University-(SFSU),California,47300.00,86400.00,150000.00
10,859866,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,Georgetown-University,Southern,55000.00,110000.00,248000.00
11,859866,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,George-Washington-University-(GWU),Southern,47000.00,97900.00,194000.00
12,859866,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,"American-University,-Washington-D.C.",Southern,45300.00,90800.00,169000.00
13,859866,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,Howard-University,Southern,46900.00,81800.00,138000.00
14,282805,885.91,177.55,2.53,12.14,189.26,695.78,49.0,Waco,Texas,Baylor-University,Southern,48300.00,88600.00,200000.00
15,320281,1003.0,130.77,2.8,14.31,139.4,695.78,49.26,Salt Lake City,Utah,University-of-Utah,Western,45400.00,83200.00,148000.00
16,321322,1007.0,199.68,2.76,14.51,212.86,662.74,50.9,Harrisburg,Pennsylvania,Penn-State---Harrisburg,Northeastern,45700.00,74000.00,150000.00
17,2140883,6706.0,181.74,3.16,21.68,193.73,1017.01,65.26,Stanford,California,Stanford-University,California,70400.00,129000.00,257000.00
18,337631,1058.0,190.63,2.54,16.14,203.2,914.18,59.65,Tacoma,Washington,University-of-Puget-Sound,Western,46600.00,81500.00,137000.00
19,370596,1161.0,141.84,2.95,14.68,151.2,827.11,58.21,Reno,Nevada,"University-of-Nevada,-Reno-(UNR)",Western,46500.00,82900.00,143000.00
20,828384,2595.0,208.74,3.0,17.05,222.51,793.34,55.18,Collegeville,Pennsylvania,Ursinus-College,Northeastern,42100.00,80000.00,160000.00
21,320281,1003.0,126.75,2.93,14.23,135.11,851.89,50.23,Spokane,Washington,Gonzaga-University,Western,44900.00,76000.00,138000.00
22,717943,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts,Wentworth-Institute-of-Technology,Northeastern,53000.00,96700.00,153000.00
23,717943,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts,Boston-University,Northeastern,49000.00,93900.00,193000.00
24,717943,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts,Northeastern-University,Northeastern,50500.00,86400.00,159000.00
25,717943,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts,University-of-Massachusetts-(UMass)---Boston,Northeastern,45600.00,78200.00,151000.00
