,Name,Rank,Tuition and fees,City,State
0,Princeton University,1,"$45,320 ",Princeton, NJ
1,Harvard University,2,"$47,074 ",Cambridge, MA
2,University of Chicago,3,"$52,491 ",Chicago, IL
3,Yale University,3,"$49,480 ",New Haven, CT
4,Columbia University,5,"$55,056 ",New York, NY
5,Stanford University,5,"$47,940 ",Stanford, CA
6,Massachusetts Institute of Technology,7,"$48,452 ",Cambridge, MA
7,Duke University,8,"$51,265 ",Durham, NC
8,University of Pennsylvania,8,"$51,464 ",Philadelphia, PA
9,Johns Hopkins University,10,"$50,410 ",Baltimore, MD
10,Dartmouth College,11,"$51,438 ",Hanover, NH
11,California Institute of Technology,12,"$47,577 ",Pasadena, CA
12,Northwestern University,12,"$50,855 ",Evanston, IL
13,Brown University,14,"$51,367 ",Providence, RI
14,Cornell University,15,"$50,953 ",Ithaca, NY
15,Rice University,15,"$43,918 ",Houston, TX
16,University of Notre Dame,15,"$49,685 ",Notre Dame, IN
17,Vanderbilt University,15,"$45,610 ",Nashville, TN
18,Washington University in St. Louis,19,"$49,770 ",St. Louis, MO
19,Emory University,20,"$47,954 ",Atlanta, GA
20,Georgetown University,20,"$50,547 ",Washington, DC
21,University of California--Berkeley,20,"$40,191 ",Berkeley, CA
22,University of Southern California,23,"$52,217 ",Los Angeles, CA
23,Carnegie Mellon University,24,"$52,040 ",Pittsburgh, PA
24,University of California--Los Angeles,24,"$39,518 ",Los Angeles, CA
25,University of Virginia,24,"$45,066 ",Charlottesville, VA
26,Tufts University,27,"$52,430 ",Medford, MA
27,University of Michigan--Ann Arbor,27,"$43,476 ",Ann Arbor, MI
28,Wake Forest University,27,"$49,308 ",Winston-Salem, NC
29,University of North Carolina--Chapel Hill,30,"$33,916 ",Chapel Hill, NC
30,Boston College,31,"$51,296 ",Chestnut Hill, MA
31,College of William & Mary,32,"$41,718 ",Williamsburg, VA
32,University of Rochester,32,"$50,142 ",Rochester, NY
33,Brandeis University,34,"$51,570 ",Waltham, MA
34,Georgia Institute of Technology,34,"$32,404 ",Atlanta, GA
35,New York University,36,"$49,062 ",New York, NY
36,Case Western Reserve University,37,"$46,006 ",Cleveland, OH
37,University of California--Santa Barbara,37,"$40,704 ",Santa Barbara, CA
38,Boston University,39,"$50,240 ",Boston, MA
39,Northeastern University,39,"$47,655 ",Boston, MA
40,Rensselaer Polytechnic Institute,39,"$50,797 ",Troy, NY
41,Tulane University,39,"$51,010 ",New Orleans, LA
42,University of California--Irvine,39,"$39,458 ",Irvine, CA
43,Lehigh University,44,"$48,320 ",Bethlehem, PA
44,University of California--Davis,44,"$40,728 ",Davis, CA
45,University of California--San Diego,44,"$41,387 ",La Jolla, CA
46,University of Illinois--Urbana-Champaign,44,"$31,320 ",Champaign, IL
47,University of Miami,44,"$47,004 ",Coral Gables, FL
48,University of Wisconsin--Madison,44,"$32,738 ",Madison, WI
49,Pepperdine University,50,"$50,022 ",Malibu, CA
50,University of Florida,50,"$28,666 ",Gainesville, FL
51,Villanova University,50,"$49,280 ",Villanova, PA
52,Pennsylvania State University--University Park,50,"$32,382 ",University Park, PA
53,Ohio State University--Columbus,54,"$29,229 ",Columbus, OH
54,University of Washington,54,"$34,791 ",Seattle, WA
55,George Washington University,56,"$51,950 ",Washington, DC
56,Southern Methodist University,56,"$50,358 ",Dallas, TX
57,University of Georgia,56,"$29,844 ",Athens, GA
58,University of Texas--Austin,56,"$34,676 ",Austin, TX
59,Fordham University,60,"$47,317 ",New York, NY
60,Purdue University--West Lafayette,60,"$28,804 ",West Lafayette, IN
61,Syracuse University,60,"$45,022 ",Syracuse, NY
62,University of Connecticut,60,"$35,858 ",Storrs, CT
63,University of Maryland--College Park,60,"$32,045 ",College Park, MD
64,Worcester Polytechnic Institute,60,"$46,994 ",Worcester, MA
65,Clemson University,66,"$32,796 ",Clemson, SC
66,Yeshiva University,66,"$40,670 ",New York, NY
67,Brigham Young University--Provo,68,"$5,300 ",Provo, UT
68,University of Pittsburgh,68,"$29,758 ",Pittsburgh, PA
69,Rutgers University--New Brunswick,70,"$30,023 ",Piscataway, NJ
70,Baylor University,71,"$42,006 ",Waco, TX
71,Stevens Institute of Technology,71,"$48,838 ",Hoboken, NJ
72,University of Minnesota--Twin Cities,71,"$22,210 ",Minneapolis, MN
73,American University,74,"$44,853 ",Washington, DC
74,Clark University,74,"$43,150 ",Worcester, MA
