,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE,School Name,REGION,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,url
0,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Oklahoma City,Oklahoma,University-of-Oklahoma,Southern,"$44,700.00-","$82,900.00-","$41,200.00-","$60,300.00-","$114,000.00-","$167,000.00-",https://www.payscale.com/cost-of-living-calculator/Oklahoma-Oklahoma-City
1,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Oklahoma City,Oklahoma,Oklahoma-State-University,Southern,"$42,800.00-","$80,700.00-","$40,100.00-","$56,500.00-","$114,000.00-","$151,000.00-",https://www.payscale.com/cost-of-living-calculator/Oklahoma-Oklahoma-City
2,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,Oklahoma City,Oklahoma,Oklahoma-City-University,Southern,"$40,000.00-","$64,300.00-",,"$45,400.00-","$80,600.00-",,https://www.payscale.com/cost-of-living-calculator/Oklahoma-Oklahoma-City
3,259903,814.16,183.42,2.5,14.38,195.52,654.49,48.02,Lafayette,Louisiana,University-of-Louisiana-(UL)-at-Lafayette,Southern,"$41,100.00-","$76,300.00-","$42,000.00-","$54,500.00-","$107,000.00-","$163,000.00-",https://www.payscale.com/cost-of-living-calculator/Louisiana-Lafayette
4,463245,1451,156.76,2.75,14.37,167.1,790.34,55.28,Denver,Colorado,University-of-Colorado---Denver,Western,"$46,100.00-","$84,400.00-","$46,400.00-","$58,600.00-","$105,000.00-","$144,000.00-",https://www.payscale.com/cost-of-living-calculator/Colorado-Denver
5,463245,1451,156.76,2.75,14.37,167.1,790.34,55.28,Denver,Colorado,Regis-University,Western,"$48,300.00-","$73,800.00-","$41,000.00-","$55,500.00-","$94,800.00-","$117,000.00-",https://www.payscale.com/cost-of-living-calculator/Colorado-Denver
6,987211,3093,180.74,3.42,16.45,192.66,824.87,54.97,Pasadena,California,California-Institute-of-Technology-(CIT),California,"$75,500.00-","$123,000.00-",,"$104,000.00-","$161,000.00-",,https://www.payscale.com/cost-of-living-calculator/California-Pasadena
7,343877,1077,162.63,2.85,14.9,173.36,631.23,43.29,Akron,Ohio,University-of-Akron,Midwestern,"$41,100.00-","$70,300.00-","$40,600.00-","$53,300.00-","$95,200.00-","$127,000.00-",https://www.payscale.com/cost-of-living-calculator/Ohio-Akron
8,285928,895.69,161.29,2.68,14.33,171.93,759.56,49.46,Carbondale,Illinois,Southern-Illinois-University-Carbondale,Midwestern,"$43,000.00-","$72,500.00-","$38,300.00-","$51,300.00-","$99,300.00-","$139,000.00-",https://www.payscale.com/cost-of-living-calculator/Illinois-Carbondale
9,1146835,3593,182.92,3.51,18.87,194.98,901.42,62.84,San Francisco,California,San-Francisco-State-University-(SFSU),California,"$47,300.00-","$86,400.00-","$45,100.00-","$62,700.00-","$114,000.00-","$150,000.00-",https://www.payscale.com/cost-of-living-calculator/California-San-Francisco
10,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,Georgetown-University,Southern,"$55,000.00-","$110,000.00-","$60,300.00-","$85,800.00-","$174,000.00-","$248,000.00-",https://www.payscale.com/cost-of-living-calculator/DC-Washington
11,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,George-Washington-University-(GWU),Southern,"$47,000.00-","$97,900.00-","$48,400.00-","$69,600.00-","$132,000.00-","$194,000.00-",https://www.payscale.com/cost-of-living-calculator/DC-Washington
12,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,"American-University,-Washington-D.C.",Southern,"$45,300.00-","$90,800.00-","$45,200.00-","$62,400.00-","$134,000.00-","$169,000.00-",https://www.payscale.com/cost-of-living-calculator/DC-Washington
13,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC,Howard-University,Southern,"$46,900.00-","$81,800.00-","$43,300.00-","$60,000.00-","$109,000.00-","$138,000.00-",https://www.payscale.com/cost-of-living-calculator/DC-Washington
14,282805,885.91,177.55,2.53,12.14,189.26,695.78,49,Waco,Texas,Baylor-University,Southern,"$48,300.00-","$88,600.00-","$46,300.00-","$60,700.00-","$130,000.00-","$200,000.00-",https://www.payscale.com/cost-of-living-calculator/Texas-Waco
15,320281,1003,130.77,2.8,14.31,139.4,695.78,49.26,Salt Lake City,Utah,University-of-Utah,Western,"$45,400.00-","$83,200.00-","$43,000.00-","$58,400.00-","$116,000.00-","$148,000.00-",https://www.payscale.com/cost-of-living-calculator/Utah-Salt-Lake-City
16,321322,1007,199.68,2.76,14.51,212.86,662.74,50.9,Harrisburg,Pennsylvania,Penn-State---Harrisburg,Northeastern,"$45,700.00-","$74,000.00-","$44,000.00-","$53,100.00-","$104,000.00-","$150,000.00-",https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Harrisburg
17,2140883,6706,181.74,3.16,21.68,193.73,1017.01,65.26,Stanford,California,Stanford-University,California,"$70,400.00-","$129,000.00-","$68,400.00-","$93,100.00-","$184,000.00-","$257,000.00-",https://www.payscale.com/cost-of-living-calculator/California-Stanford
18,337631,1058,190.63,2.54,16.14,203.2,914.18,59.65,Tacoma,Washington,University-of-Puget-Sound,Western,"$46,600.00-","$81,500.00-","$48,900.00-","$60,100.00-","$104,000.00-","$137,000.00-",https://www.payscale.com/cost-of-living-calculator/Washington-Tacoma
19,370596,1161,141.84,2.95,14.68,151.2,827.11,58.21,Reno,Nevada,"University-of-Nevada,-Reno-(UNR)",Western,"$46,500.00-","$82,900.00-","$41,900.00-","$54,600.00-","$113,000.00-","$143,000.00-",https://www.payscale.com/cost-of-living-calculator/Nevada-Reno
20,828384,2595,208.74,3,17.05,222.51,793.34,55.18,Collegeville,Pennsylvania,Ursinus-College,Northeastern,"$42,100.00-","$80,000.00-","$35,600.00-","$54,300.00-","$100,000.00-","$160,000.00-",https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Collegeville
21,320281,1003,126.75,2.93,14.23,135.11,851.89,50.23,Spokane,Washington,Gonzaga-University,Western,"$44,900.00-","$76,000.00-","$47,000.00-","$57,400.00-","$103,000.00-","$138,000.00-",https://www.payscale.com/cost-of-living-calculator/Washington-Spokane
22,717943,2249,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts,Wentworth-Institute-of-Technology,Northeastern,"$53,000.00-","$96,700.00-","$55,200.00-","$74,000.00-","$117,000.00-","$153,000.00-",https://www.payscale.com/cost-of-living-calculator/Massachusetts-Boston
