AVG,SOUTHERN,MIDWESTERN,WESTERN,NORTHEASTERN,CALIFORNIA
Starting Median Salary,45570.21277,45289.74359,45495.65217,50188,52818.18182
Mid-Career Median Salary,81274.46809,80576.92308,78882.6087,92100,97863.63636
Mid-Career 90th Percentile Salary,155534.0426,153453.8462,140521.7391,179600,182090.9091
MORTGAGE,355250.9787,346251.4615,453874.1304,555135,967276.0909
RENT,1112.845532,1084.611026,1421.753043,1739.0624,3030.181818
ELECTRICITY,165.6697872,159.6987179,161.1930435,206.5648,181.1645455
GAS,2.523191489,2.712051282,2.87826087,2.8824,3.305454545
EAT-IN,14.24297872,14.65897436,15.85217391,16.2208,17.58545455
PHONE,176.5982979,170.234359,171.826087,220.1904,193.1154545
HLTH & WELL,711.7408511,765.6479487,829.173913,854.8284,850.7945455
VET,51.09148936,51.15897436,55.87391304,59.7144,57.10636364
