,Mid-Career Median Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
0,6908.333333333333,688.2166666666667,776.12,154.08,65.4,399.6,164.24,680.75,46.79,0
1,6725.0,688.2166666666667,776.12,154.08,65.4,399.6,164.24,680.75,46.79,0
2,6358.333333333333,721.9527777777778,814.16,183.42,75.0,431.40000000000003,195.52,654.49,48.02,0
3,7033.333333333333,1286.7916666666667,1451.0,156.76,82.5,431.09999999999997,167.1,790.34,55.28,2
4,6150.0,1286.7916666666667,1451.0,156.76,82.5,431.09999999999997,167.1,790.34,55.28,2
5,5858.333333333333,955.2138888888888,1077.0,162.63,85.5,447.0,173.36,631.23,43.29,1
6,6041.666666666667,794.2444444444444,895.69,161.29,80.4,429.9,171.93,759.5600000000003,49.46,1
7,7200.0,3185.652777777778,3593.0,182.92,105.3,566.1,194.98,901.42,62.84,3
8,9166.666666666666,2388.516666666667,2694.0,162.13,81.9,484.20000000000005,172.82,724.3,50.44,0
9,8158.333333333333,2388.516666666667,2694.0,162.13,81.9,484.20000000000005,172.82,724.3,50.44,0
10,7566.666666666667,2388.516666666667,2694.0,162.13,81.9,484.20000000000005,172.82,724.3,50.44,0
11,6816.666666666667,2388.516666666667,2694.0,162.13,81.9,484.20000000000005,172.82,724.3,50.44,0
12,7383.333333333333,785.5694444444445,885.91,177.55,75.89999999999999,364.20000000000005,189.26,695.78,49.0,0
13,6933.333333333333,889.6694444444445,1003.0,130.77,84.0,429.3,139.4,695.78,49.26,2
14,6166.666666666667,892.5611111111111,1007.0,199.68,82.8,435.30000000000007,212.86,662.74,50.9,4
15,10750.0,5946.897222222222,6706.0,181.74,94.80000000000001,650.4,193.73,1017.01,65.26,3
16,6791.666666666667,937.8638888888889,1058.0,190.63,76.2,484.20000000000005,203.2,914.18,59.65,2
17,6908.333333333333,1029.4333333333334,1161.0,141.84,88.5,440.4,151.2,827.11,58.21,2
18,6666.666666666667,2301.0666666666666,2595.0,208.74,90.0,511.5,222.51,793.34,55.18,4
19,6333.333333333333,889.6694444444445,1003.0,126.75,87.9,426.90000000000003,135.11,851.8900000000001,50.23,2
20,8058.333333333333,1994.286111111111,2249.0,236.57,86.7,465.59999999999997,252.17,1014.76,66.81,4
21,7825.0,1994.286111111111,2249.0,236.57,86.7,465.59999999999997,252.17,1014.76,66.81,4
22,7200.0,1994.286111111111,2249.0,236.57,86.7,465.59999999999997,252.17,1014.76,66.81,4
23,6516.666666666667,1994.286111111111,2249.0,236.57,86.7,465.59999999999997,252.17,1014.76,66.81,4
24,6166.666666666667,1994.286111111111,2249.0,236.57,86.7,465.59999999999997,252.17,1014.76,66.81,4
25,6341.666666666667,907.0194444444444,1023.0,171.18,84.6,399.6,182.47,707.02,50.03,1
26,5966.666666666667,1044.8555555555556,1178.0,151.23,88.8,457.80000000000007,161.21,770.83,51.52,2
27,5841.666666666667,832.8,939.17,169.0,71.39999999999999,420.59999999999997,180.15,628.96,47.2,0
28,5325.0,954.25,1076.0,179.56,102.0,473.7,191.41,884.9100000000003,49.77,2
29,5950.0,745.0861111111111,840.25,144.19,80.4,501.3,153.7,875.1600000000003,52.91,1
30,7183.333333333333,1010.1555555555556,1139.0,152.74,84.6,469.5,162.81,784.34,55.07,1
31,6050.0,855.9333333333333,965.26,144.02,72.0,415.2,153.52,755.06,48.48,1
32,8416.666666666666,2189.9555555555557,2470.0,180.74,102.6,493.5,192.66,824.87,54.97,3
33,8300.0,2189.9555555555557,2470.0,180.74,102.6,493.5,192.66,824.87,54.97,3
34,6908.333333333333,1320.5472222222222,1489.0,181.74,82.8,564.9,193.73,875.1600000000003,63.1,4
35,7325.0,878.1027777777778,990.26,199.01,81.0,456.3,212.14,740.06,48.74,0
36,5016.666666666667,1011.1194444444444,1140.0,174.87,77.69999999999999,417.9,186.4,759.5600000000003,52.65,0
37,6050.0,1724.3972222222221,1945.0,130.77,83.39999999999999,507.3,139.4,803.85,60.53,2
38,5908.333333333333,1724.3972222222221,1945.0,130.77,83.39999999999999,507.3,139.4,803.85,60.53,2
39,7108.333333333333,1612.2555555555555,1818.0,168.83,77.69999999999999,405.9,179.97,737.05,47.82,1
40,7000.0,845.3305555555555,953.3,159.11,78.89999999999999,423.0,169.61,661.24,53.37,1
41,5700.0,854.9694444444444,964.17,178.22,72.0,389.1,189.98,809.8599999999999,52.09,0
42,8300.0,2469.9,2785.0,149.72,96.0,513.9,159.6,778.3399999999997,56.15,3
43,6458.333333333333,1039.0722222222223,1172.0,129.1,74.7,448.2,137.61,773.8299999999997,51.88,2
44,5516.666666666667,859.7888888888889,969.6,154.58,75.89999999999999,442.2,164.78,655.24,50.34,0
45,7008.333333333333,1087.2416666666666,1226.0,161.12,71.7,428.7,171.75,733.29,48.23,2
46,10500.0,3080.625,3474.0,201.36,89.7,488.09999999999997,214.64,901.42,66.24,4
47,10333.333333333334,3080.625,3474.0,201.36,89.7,488.09999999999997,214.64,901.42,66.24,4
48,5891.666666666667,728.7,821.77,147.04,69.3,364.20000000000005,156.74,681.51,48.74,0
49,7541.666666666667,983.7777777777778,1109.0,179.9,76.2,426.0,191.77,703.28,49.36,1
50,6508.333333333333,910.875,1027.0,168.67,82.2,408.29999999999995,179.79,732.55,57.54,0
51,7058.333333333333,718.0972222222222,809.81,173.53,70.19999999999999,449.7,184.98,640.23,52.09,0
52,5483.333333333333,887.7416666666667,1001.0,180.74,77.1,441.3,192.66,742.3,53.48,1
53,3883.3333333333335,782.6777777777778,882.64,149.55,79.80000000000001,410.4,159.42,682.26,48.95,1
54,6283.333333333333,1209.6805555555557,1364.0,134.8,94.5,463.8,143.69,866.9,58.88,2
55,6150.0,830.8722222222223,936.99,129.94,77.69999999999999,406.2,138.51,750.56,49.1,0
56,5591.666666666667,700.7472222222223,790.25,192.31,78.60000000000001,460.2,204.99,766.3199999999997,49.98,1
57,7366.666666666667,905.0916666666667,1021.0,179.73,74.7,431.09999999999997,191.59,851.1299999999999,48.74,1
58,6216.666666666667,905.0916666666667,1021.0,179.73,74.7,431.09999999999997,191.59,851.1299999999999,48.74,1
59,8833.333333333334,909.9111111111112,1026.0,143.01,79.2,462.9,152.45,806.8499999999997,52.5,0
60,7633.333333333333,909.9111111111112,1026.0,143.01,79.2,462.9,152.45,806.8499999999997,52.5,0
61,6166.666666666667,909.9111111111112,1026.0,143.01,79.2,462.9,152.45,806.8499999999997,52.5,0
62,7316.666666666667,840.5111111111111,947.86,137.65,72.6,426.0,146.73,852.64,54.25,0
63,9166.666666666666,1010.1555555555556,1139.0,185.43,76.2,382.2,197.66,684.51,48.64,0
64,6658.333333333333,1010.1555555555556,1139.0,185.43,76.2,382.2,197.66,684.51,48.64,0
65,6891.666666666667,1415.9527777777778,1597.0,199.68,87.6,492.9,212.86,784.34,55.18,4
66,10500.0,1298.3583333333333,1464.0,181.74,82.8,564.9,193.73,875.1600000000003,63.1,4
67,9666.666666666666,187.86111111111111,211.86,149.72,72.0,408.90000000000003,159.6,755.8199999999997,48.18,1
68,7058.333333333333,2189.9555555555557,2470.0,180.74,102.6,493.5,192.66,824.87,54.97,3
69,6225.0,697.8555555555556,786.99,152.57,76.8,440.4,162.64,893.16,53.63,1
70,7825.0,981.2388888888889,1107.0,147.04,73.2,386.40000000000003,156.74,746.0600000000003,51.88,0
71,7950.0,638.0944444444444,719.59,197.34,69.0,388.5,210.35,833.88,51.93,0
72,6008.333333333333,554.1694444444445,624.95,157.1,77.1,486.0,167.46,935.2,48.9,1
73,5791.666666666667,847.2583333333333,955.47,143.68,84.3,394.20000000000005,153.16,776.0699999999997,48.07,2
74,7216.666666666667,1244.5333333333333,1403.0,201.36,89.7,488.09999999999997,214.64,901.42,66.24,4
75,5300.0,1203.8972222222221,1358.0,195.49,84.6,441.90000000000003,208.39,808.35,56.77,4
76,7966.666666666667,2391.4083333333333,2697.0,210.75,87.30000000000001,531.5999999999999,224.65,871.39,55.07,3
77,8833.333333333334,1513.3472222222222,1707.0,156.76,82.5,431.09999999999997,167.1,790.34,55.28,2
78,8666.666666666666,878.1027777777778,990.26,150.73,78.60000000000001,426.90000000000003,160.67,613.21,53.37,0
79,8041.666666666667,851.1138888888889,959.82,175.54,80.4,489.6,187.12,759.5600000000003,54.56,1
