,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE
0,247758.0,776.12,154.08,2.18,13.319999999999999,164.24,680.75,46.79,Oklahoma City,Oklahoma
1,259903.0,814.16,183.42,2.5,14.38,195.52,654.49,48.02,Lafayette,Louisiana
3,463245.0,1451.0,156.76,2.75,14.370000000000001,167.1,790.34,55.28,Denver,Colorado
4,987211.0,3093.0,180.74,3.42,16.45,192.66,824.87,54.97,Pasadena,California
5,343877.0,1077.0,162.63,2.85,14.899999999999999,173.36,631.23,43.29,Akron,Ohio
6,285928.0,895.69,161.29,2.68,14.329999999999998,171.93,759.5600000000001,49.46,Carbondale,Illinois
9,1146835.0,3593.0,182.92,3.51,18.87,194.98,901.42,62.84,San Francisco,California
10,859866.0,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC
14,282805.0,885.91,177.55,2.53,12.139999999999999,189.26,695.78,49.0,Waco,Texas
16,320281.0,1003.0,130.77,2.8,14.309999999999999,139.4,695.78,49.26,Salt Lake City,Utah
18,321322.0,1007.0,199.68,2.76,14.510000000000002,212.86,662.74,50.9,Harrisburg,Pennsylvania
19,2140883.0,6706.0,181.74,3.16,21.68,193.73,1017.01,65.26,Stanford,California
23,337631.0,1058.0,190.63,2.54,16.14,203.2,914.1800000000001,59.65,Tacoma,Washington
24,370596.0,1161.0,141.84,2.95,14.68,151.2,827.11,58.21,Reno,Nevada
26,828384.0,2595.0,208.74,3.0,17.05,222.51,793.34,55.18,Collegeville,Pennsylvania
27,320281.0,1003.0,126.75,2.93,14.23,135.11,851.8900000000001,50.23,Spokane,Washington
30,717943.0,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts
31,326527.0,1023.0,171.18,2.82,13.319999999999999,182.47,707.02,50.03,Detroit,Michigan
33,376148.0,1178.0,151.23,2.96,15.260000000000002,161.21,770.83,51.52,Las Vegas,Nevada
35,299808.0,939.17,169.0,2.38,14.02,180.15,628.96,47.2,Birmingham,Alabama
36,343530.0,1076.0,179.56,3.4,15.79,191.41,884.9100000000001,49.77,Olympia,Washington
41,268231.0,840.25,144.19,2.68,16.71,153.7,875.1600000000001,52.91,St. Cloud,Minnesota
