,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE,School Name,REGION,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,url
0,247758.0,776.12,154.08,2.18,13.319999999999999,164.24,680.75,46.79,Oklahoma City,Oklahoma,University-of-Oklahoma,Southern,"$44,700.00-","$82,900.00-","$41,200.00-","$60,300.00-","$114,000.00-","$167,000.00-",https://www.payscale.com/cost-of-living-calculator/Oklahoma-Oklahoma-City
1,247758.0,776.12,154.08,2.18,13.319999999999999,164.24,680.75,46.79,Oklahoma City,Oklahoma,Oklahoma-State-University,Southern,"$42,800.00-","$80,700.00-","$40,100.00-","$56,500.00-","$114,000.00-","$151,000.00-",https://www.payscale.com/cost-of-living-calculator/Oklahoma-Oklahoma-City
2,247758.0,776.12,154.08,2.18,13.319999999999999,164.24,680.75,46.79,Oklahoma City,Oklahoma,Oklahoma-City-University,Southern,"$40,000.00-","$64,300.00-",,"$45,400.00-","$80,600.00-",,https://www.payscale.com/cost-of-living-calculator/Oklahoma-Oklahoma-City
3,259903.0,814.16,183.42,2.5,14.38,195.52,654.49,48.02,Lafayette,Louisiana,University-of-Louisiana-(UL)-at-Lafayette,Southern,"$41,100.00-","$76,300.00-","$42,000.00-","$54,500.00-","$107,000.00-","$163,000.00-",https://www.payscale.com/cost-of-living-calculator/Louisiana-Lafayette
4,463245.0,1451.0,156.76,2.75,14.370000000000001,167.1,790.34,55.28,Denver,Colorado,University-of-Colorado---Denver,Western,"$46,100.00-","$84,400.00-","$46,400.00-","$58,600.00-","$105,000.00-","$144,000.00-",https://www.payscale.com/cost-of-living-calculator/Colorado-Denver
5,463245.0,1451.0,156.76,2.75,14.370000000000001,167.1,790.34,55.28,Denver,Colorado,Regis-University,Western,"$48,300.00-","$73,800.00-","$41,000.00-","$55,500.00-","$94,800.00-","$117,000.00-",https://www.payscale.com/cost-of-living-calculator/Colorado-Denver
6,987211.0,3093.0,180.74,3.42,16.45,192.66,824.87,54.97,Pasadena,California,California-Institute-of-Technology-(CIT),California,"$75,500.00-","$123,000.00-",,"$104,000.00-","$161,000.00-",,https://www.payscale.com/cost-of-living-calculator/California-Pasadena
7,343877.0,1077.0,162.63,2.85,14.899999999999999,173.36,631.23,43.29,Akron,Ohio,University-of-Akron,Midwestern,"$41,100.00-","$70,300.00-","$40,600.00-","$53,300.00-","$95,200.00-","$127,000.00-",https://www.payscale.com/cost-of-living-calculator/Ohio-Akron
8,285928.0,895.69,161.29,2.68,14.329999999999998,171.93,759.5600000000001,49.46,Carbondale,Illinois,Southern-Illinois-University-Carbondale,Midwestern,"$43,000.00-","$72,500.00-","$38,300.00-","$51,300.00-","$99,300.00-","$139,000.00-",https://www.payscale.com/cost-of-living-calculator/Illinois-Carbondale
9,1146835.0,3593.0,182.92,3.51,18.87,194.98,901.42,62.84,San Francisco,California,San-Francisco-State-University-(SFSU),California,"$47,300.00-","$86,400.00-","$45,100.00-","$62,700.00-","$114,000.00-","$150,000.00-",https://www.payscale.com/cost-of-living-calculator/California-San-Francisco
